V,E,duration
1000,1000,13165566
1100,1000,13882800
1200,1000,14666666
1300,1000,10753166
1400,1000,11151900
1500,1000,13572733
1600,1000,17495300
1700,1000,7519866
1800,1000,7450100
1900,1000,9419533
2000,1000,11437366
2100,1000,12450500
2200,1000,10674000
2300,1000,10940566
2400,1000,11090733
2500,1000,12517666
2600,1000,14282400
2700,1000,14877166
2800,1000,15834666
2900,1000,16884733
3000,1000,17614066
3100,1000,23168766
3200,1000,28165433
3300,1000,21773600
3400,1000,24477166
3500,1000,25177433
3600,1000,26297200
3700,1000,31239700
3800,1000,26050066
3900,1000,28628133
4000,1000,28242500
4100,1000,29589433
4200,1000,30256766
4300,1000,35786300
4400,1000,33631333
4500,1000,34416466
4600,1000,36444900
4700,1000,36438966
4800,1000,36758200
4900,1000,37852233
5000,1000,41384500
5100,1000,55061600
5200,1000,49145966
5300,1000,47444400
5400,1000,58828000
5500,1000,52688200
5600,1000,50943466
5700,1000,53782666
5800,1000,57965333
5900,1000,58893300
6000,1000,61197266
6100,1000,64264666
6200,1000,64662633
6300,1000,66230266
6400,1000,76470666
6500,1000,80102666
6600,1000,97852400
6700,1000,75876500
6800,1000,80608466
6900,1000,78641433
7000,1000,86294700
7100,1000,108530400
7200,1000,101543366
7300,1000,87377333
7400,1000,97096066
7500,1000,97119300
7600,1000,95827500
7700,1000,102111266
7800,1000,119839600
7900,1000,108494100
8000,1000,132939833
8100,1000,125452066
8200,1000,119972300
8300,1000,117052433
8400,1000,130384433
8500,1000,148487933
8600,1000,143649766
8700,1000,139981833
8800,1000,139133166
8900,1000,161854566
9000,1000,188032800
9100,1000,160679500
9200,1000,178114566
9300,1000,171232733
9400,1000,172714666
9500,1000,188236900
9600,1000,170430300
9700,1000,245170533
9800,1000,194129666
9900,1000,215831400
10000,1000,238341666
